Q7187 gene
Q20747295 protein-coding-gene
Q8054 protein
Q427087 non-coding-RNA
Q277338 Pseudogene
Q12136 disease
Q11436 aircraft
Q93301 locomotive
Q2095 food
Q201448 transfer-RNA
Q11053 RNA
Q216916 military-aircraft
Q1420 automobile
Q21167512 chemical-hazard
Q34379 musical-instrument
Q3270632 national-championship
Q13219666 tennis-tournament
Q284416 small-nucleolar-RNA
Q743004 aircraft-engine
Q2389789 steel-roller-coaster
Q121998 ambassador
Q5 human
Q20650761 tender-locomotive
Q79529 chemical-substance
Q15061650 golf-tournament
Q14660 flag
Q15062149 land-based-aircraft
Q3092395 phosphate-mineral-class
Q764802 sulfate-mineral-class
Q37732 demography
Q204179 0
Q220505 film-festival
Q174736 destroyer
Q83307 minister
Q785745 tank-locomotive
Q2944440 Category:Stubs
Q4796437 arsenate-mineral
Q5433715 fancy-pigeon
Q41415 soup
Q407355 transferase
Q3947 house
Q927407 sulfide-mineral-class
Q15916867 administrative-territorial-entity-of-a-single-country
Q899033 space-group
Q19842071 diesel-electric-locomotive
Q432 Islam
Q11173 chemical-compound
Q416949 sulfosalt-mineral-subclass
Q33146 Bantu-languages
Q945532 oxide-mineral
Q3848 0
Q15726790 United-States-ambassador
Q2912397 single-day-race
Q486839 member-of-parliament
Q5043 Christianity
Q1073138 carbonate-and-nitrate-mineral-class
Q34486 helicopter
Q2811 submarine
Q973560 wooden-roller-coaster
Q12639 idiophone
Q51739 0
Q729283 halide-mineral-class
Q625151 electric-locomotive
Q18679149 fish-dish
Q2223649 French-cheese
Q161705 frigate
Q18015938 nonconvex-polyhedron
Q182676 mountain-hut
Q284578 small-nuclear-RNA
Q30461 president
Q13406554 sport-competition
Q3088299 cow's-milk-cheese
Q811979 architectural-structure
Q331795 patrol-boat
Q14212 Prime-Minister
Q11460 clothing
Q43229 organization
Q3041792 reconnaissance-aircraft
Q236425 0
Q1051772 chordophone
Q49228 0
Q25276 isotope
Q1014107 0
Q914752 Lord-Lieutenant
Q6581097 male
Q30185 mayor
Q17544377 history-of-a-country-or-state
Q10864048 first-level-administrative-country-subdivision
Q20646667 Plain-stage
Q10943 cheese
Q9266 salad
Q9089 0
Q19860 Indo-European-languages
Q3447203 borate-mineral-class
Q633730 archdeacon
Q429635 nesosilicates
Q17897 0
Q279440 inosilicate
Q2624432 arsenite-"subclass";-[5,6]-vanadates;-iodates
Q95074 fictional-character
Q429681 phyllosilicates
Q2701282 Western-Oceanic-languages
Q618779 award
Q2471563 uniform-polyhedron
Q11515488 sorosilicates
Q41426 trainer
Q172937 polyhedron
Q7330070 foreign-minister
Q48352 head-of-state
Q1059659 Johnson-solid
Q473972 protected-area
Q41176 building
Q15091377 cycling-race
Q14860489 molecular-function
Q1190554 event
Q1079190 switcher
Q17422 same-sex-marriage
Q104843 cruiser
Q45961 Sino-Tibetan-languages
Q2285706 head-of-government
Q2066131 sportsperson
Q708 lead
Q6581072 female
Q1094 indium
Q785466 isotope-of-indium
Q2922269 0
Q215980 ribosomal-RNA
Q1372384 isotope-of-lead
Q942 bismuth
Q7946 mineral
Q637816 occupational-disease
Q1372372 isotope-of-bismuth
Q654051 turbofan
Q230262 plucked-string-instrument
Q144 dog
Q640506 cabinet
Q13357858 badminton-tournament
Q2037045 0
Q13426709 suffragan-bishop
Q932 thallium
Q39546 tool
Q1928978 viral-disease
Q3579211 combat-helmet
Q28223 isotope-of-thallium
Q202527 minesweeper
Q13360264 pie
Q748 Buddhism
Q697175 launch-vehicle
Q4818021 attack-submarine
Q1857 lutetium
Q170013 corvette
Q618200 isotope-of-lutetium
Q246672 mathematical-object
Q20646670 Hilly-stage
Q180712 computer-worm
Q56061 administrative-territorial-entity
Q210932 airliner
Q178 pasta
Q13379369 hydroxide-mineral-subclass
Q1318941 stage-race
Q1090 silver
Q4830453 business
Q2996394 biological-process
Q486972 human-settlement
Q208187 attack-aircraft
Q20646668 Mountain-stage
Q1373385 isotope-of-silver
Q1123 tantalum
Q897 gold
Q483711 0
Q1096 tin
Q34336 diesel-locomotive
Q271669 landform
Q2500708 isotope-of-tantalum
Q2388316 public
Q214196 gunboat
Q687521 isotope-of-tin
Q4990963 circus-skills
Q40231 election
Q19361017 British-cheese
Q1445518 military-transport-aircraft
Q133311 tribe
Q1330776 isotope-of-gold
Q877 iridium
Q4991371 soldier
Q37555 polygon
Q18491037 biplane-fighter
Q1846 holmium
Q1344963 world-championship
Q987767 container
Q466737 isotope-of-holmium
Q21082483 autosomal-dominant-disease
Q18971517 syndrome
Q8261 novel
Q25268 Afro-Asiatic-languages
Q127771 fighter
Q1130697 utility-aircraft
Q1099 antimony
Q1022125 0
Q46169 national-park
Q19529 isotope-of-iridium
Q17299750 snooker-tournament
Q1075 color
Q9053 pudding
Q7852566 tumbler-and-highflyers
Q736812 isotope-of-antimony
Q731988 0
Q5614848 Category:Europe-templates
Q3070307 North-and-Central-Vanuatu-languages
Q29182 bishop
Q170877 bomber
Q11348 function
Q500834 tournament
Q386724 work
Q1144278 diocesan-bishop
Q753009 food-colouring
Q558892 isotope-of-terbium
Q36534 chemical-reaction
Q273854 Gauls
Q1119 hafnium
Q723127 native-element-mineral-class
Q3890160 uniform-polyhedron-compound
Q245970 Cypriot-Cup
Q19773264 voiceless-consonant
Q1838 terbium
Q1108 caesium
Q979 polonium
Q941 yttrium
Q466147 isotope-of-hafnium
Q24638 isotope-of-caesium
Q21082484 autosomal-recessive-disease
Q1853 thulium
Q17315191 Italian-cheese
Q11515780 cyclosilicates
Q618193 isotope-of-thulium
Q617792 compound-locomotive
Q1828459 isotope-of-polonium
Q13220204 second-level-administrative-country-subdivision
Q1190172 isotope-of-yttrium
Q1043481 0
Q9119882 Category:Africa-templates
Q166142 application
Q1183543 device
Q925 mercury
Q838948 work-of-art
Q7397 software
Q2306612 national-road-cycling-championships
Q1758037 speaker
Q1087 rhodium
Q1046 niobium
Q737 rhenium
Q3142 0
Q207452 ship-of-the-line
Q193622 order
Q161973 curve
Q14659 coat-of-arms
Q1320863 isotope-of-rhodium
Q1190183 isotope-of-niobium
Q5297 microprocessor
Q2457980 clothing-in-Ancient-Rome
Q1809 promethium
Q1100 tellurium
Q1054 technetium
Q889821 governor
Q7802 bread
Q550394 isotope-of-promethium
Q28232 isotope-of-rhenium
Q225056 isotope-of-technetium
Q1396 europium
Q1321353 isotope-of-mercury
Q999 astatine
Q5638 bus
Q549792 isotope-of-europium
Q3914 school
Q2217740 isotope-of-astatine
Q1386 praseodymium
Q114675 mica-minerals
Q1103 iodine
Q1089 palladium
Q33838 0
Q2735392 utility-helicopter
Q265868 bone
Q212920 home-appliance
Q186380 autosome
Q182531 battleship
Q1656682 event
Q1208453 isotope-of-iodine
Q1190435 isotope-of-tellurium
Q6852880 Category:Asia-templates
Q549728 isotope-of-praseodymium
Q515 city
Q349 sport
Q15830292 ecclesiastical-dress
Q1374075 isotope-of-palladium
Q880 platinum
Q748349 mathematical-structure
Q599151 official
Q253140 0
Q235356 carriage
Q2188189 musical-work
Q1801 lanthanum
Q15284 municipality
Q1388 neodymium
Q1091 cadmium
Q862597 musical-form
Q7614320 finance-minister
Q6969087 Category:Economists-by-nationality
Q549744 isotope-of-neodymium
Q33506 museum
Q3088323 industrial-cheese
Q1819 samarium
Q1385 cerium
Q1112 barium
Q1079023 championship
Q1055894 deputy
Q738680 pottery-of-ancient-Greece
Q606986 isotope-of-xenon
Q559290 isotope-of-lanthanum
Q549767 isotope-of-samarium
Q4220917 film-award
Q215627 person
Q19475 isotope-of-platinum
Q178359 sauce
Q1478437 football-tournament
Q1321542 isotope-of-cadmium
Q1106 xenon
Q8134 economics
Q618198 isotope-of-erbium
Q571 book
Q4958876 0
Q42178 vice-president
Q2555200 isotope-of-barium
Q2529166 lieutenant-governor
Q1849 erbium
Q1843 dysprosium
Q180733 lute
Q1377841 isotope-of-cerium
Q13276 cake
Q746471 blue-cheese
Q743 tungsten
Q558574 isotope-of-dysprosium
Q1940287 family-car
Q1855 ytterbium
Q18325242 Ice-hockey-tournament
Q180173 glider
Q134574 pump
Q7889 video-game
Q618142 isotope-of-ytterbium
Q47168 county-of-a-state-of-the-United-States-of-America
Q4164871 0
Q3721675 Orders,-decorations,-and-medals-of-Australia
Q3381520 phosphotransferase
Q2523684 quadjet
Q2334543 isotope-of-radon
Q192350 ministry
